gp,xmin,xmax,ymin,ymax
0,626.81,669.28,4661.2,4700.8
1,626.81,637.43,4661.2,4671.1
2,637.43,648.04,4661.2,4671.1
3,648.04,658.66,4661.2,4671.1
4,658.66,669.28,4661.2,4671.1
5,626.81,637.43,4671.1,4681
6,637.43,648.04,4671.1,4681
7,648.04,658.66,4671.1,4681
8,658.66,669.28,4671.1,4681
9,626.81,637.43,4681,4690.9
10,637.43,648.04,4681,4690.9
11,648.04,658.66,4681,4690.9
12,658.66,669.28,4681,4690.9
13,626.81,637.43,4690.9,4700.8
14,637.43,648.04,4690.9,4700.8
15,648.04,658.66,4690.9,4700.8
16,658.66,669.28,4690.9,4700.8
