key,total,unk,modern,xlw,zbg,hs,xhy,lxjd,uxjd,zg_h,l
00A001,28,10,1,0,0,0,0,13,0,4,0
00A002,22,4,0,0,0,0,0,18,0,0,0
00A003,24,10,0,0,0,0,0,10,0,4,0
00A004,21,0,0,0,0,0,0,0,0,21,0
00A005,41,24,0,0,0,0,0,17,0,0,0
00A006,9,5,0,0,0,0,0,3,0,0,1
00A007,7,0,0,0,0,0,0,0,0,0,7
00A008,18,7,1,0,0,0,0,6,0,1,3
00A009,9,5,0,0,0,0,0,4,0,0,0
00A010,32,3,0,0,0,0,0,29,0,0,0
00A011,34,0,0,0,0,0,0,34,0,0,0
00A012,24,0,0,0,0,0,0,24,0,0,0
00A013,3,0,0,0,0,0,0,3,0,0,0
00A014,11,1,0,0,0,0,0,0,0,10,0
00A015,19,0,0,0,0,0,0,19,0,0,0
00A016,5,0,0,0,0,0,0,3,0,1,1
00A017,5,0,0,0,0,0,0,5,0,0,0
00A018,19,0,0,0,0,0,0,1,0,0,18
00A019,9,0,0,0,0,0,0,0,0,0,9
00A020,12,0,0,0,0,0,0,0,0,12,0
00A021,10,2,0,0,0,0,0,0,8,0,0
00A022,16,1,0,0,0,15,0,0,0,0,0
00A023,6,0,0,0,0,0,0,0,0,0,6
00A024,67,20,1,0,0,2,0,0,44,0,0
00A025,11,2,0,0,0,0,0,0,5,4,0
00A026,3,0,0,0,0,0,0,0,0,3,0
00A027,11,1,0,0,0,0,0,0,10,0,0
00A028,47,0,0,0,0,0,0,0,42,5,0
00A029,5,0,0,0,0,0,0,5,0,0,0
00A030,7,0,0,0,0,0,0,6,0,1,0
00A031,6,0,0,0,0,0,0,6,0,0,0
00A032,3,0,0,0,0,0,0,3,0,0,0
00A033,0,0,0,0,0,0,0,0,0,0,0
00A034,5,0,0,0,0,0,0,5,0,0,0
00A035,11,1,0,0,0,0,0,0,10,0,0
00A036,15,1,0,0,0,0,0,0,13,1,0
00A037,9,0,0,0,0,0,0,0,9,0,0
00A038,6,0,0,0,0,0,0,0,6,0,0
00A039,4,2,0,0,0,0,0,0,0,1,1
00A040,9,0,0,0,0,0,0,0,9,0,0
00A041,2,0,0,0,0,0,0,0,0,2,0
00A042,6,0,0,0,0,0,0,0,0,6,0
00A043,7,0,0,0,0,0,0,0,7,0,0
00A044,6,1,0,0,0,0,0,0,5,0,0
00A045,5,1,0,0,0,0,0,0,0,4,0
00A046,7,0,0,0,0,0,0,0,4,3,0
00A047,24,0,0,0,0,0,0,0,24,0,0
00A048,21,0,0,0,0,0,0,0,21,0,0
00A049,10,0,0,0,0,0,0,0,10,0,0
00A050,8,0,0,0,0,0,0,0,8,0,0
00A051,5,0,0,0,0,0,0,0,5,0,0
00A052,10,0,0,0,0,0,0,0,10,0,0
00A053,3,0,0,0,0,0,0,0,3,0,0
00A054,5,0,0,0,0,0,0,0,5,0,0
00A055,10,0,0,0,0,0,0,0,10,0,0
00A056,8,5,0,0,0,0,0,0,1,2,0
00A057,23,0,0,0,0,0,0,0,23,0,0
00A058,4,0,0,0,0,0,0,0,4,0,0
00A059,2,0,0,0,0,0,0,0,2,0,0
00A060,19,2,0,0,0,0,0,0,17,0,0
00A061,12,2,0,0,0,0,0,0,10,0,0
00A062,2,0,0,0,0,0,0,0,2,0,0
00A063,9,0,0,0,0,0,0,0,9,0,0
00A064,5,1,0,0,0,0,0,0,4,0,0
00A065,16,5,0,0,0,0,0,0,11,0,0
00A066,8,0,0,0,0,0,0,0,8,0,0
00A067,6,0,0,0,0,0,0,0,6,0,0
00A068,16,1,0,0,0,0,0,0,15,0,0
00A069,11,0,0,0,0,0,0,0,11,0,0
