key,sno,sv,cm,noc,rm
00A001,644,M,S,1,
00A002,644,M,S,1,
00A003,644,M,S,1,
00A004,644,M,S,1,
00A005,644,H,S,1,
00A006,644,H,G,,
00A007,602,M,G,,
00A008,603,L,G,,
00A009,601,L,G,,
00A010,604,M,S,1,
00A011,604,H,S,1,
00A012,604,L,S,3,
00A013,604,L,G,,
00A014,605,L,G,,"Unit too large, recollected as 07A139-142"
00A015,606,M,S,1,
00A016,606,M,G,,
00A017,607,M,G,,
00A018,608,L,G,,"Unit too large, recollected as 06A018-023"
00A019,609,L,G,,
00A020,610,L,G,,"Unit too large, recollected as 07A107-113"
00A021,611,L,G,,"Unit too large, recollected as 07A0118-120"
00A022,612,L,G,,"Unit too large, recollected as 07A114-117"
00A023,613,M,G,,
00A024,614,L,G,,"Unit too large, recollected as 07A121-130"
00A025,615,L,G,,Stone slab grave
00A026,616,L,G,,
00A027,617,L,G,,"Stone slab grave; unit too large, recollected as 07A131-133,135"
00A028,618,L,G,,"Unit too large, recollected as 07A100-102"
00A029,619,M,G,,
00A030,619,M,G,,
00A031,619,M,G,,
00A032,619,L,G,,
00A033,627,L,G,,
00A034,627,L,G,,
00A035,628,L,G,,
00A036,628,L,G,,
00A037,629,H,G,,
00A038,630,H,G,,
00A039,631,H,G,,
00A040,632,H,G,,
00A041,760, ,G,,
00A042,760,H,G,,
00A043,761,H,G,,
00A044,761,H,G,,
00A045,762,H,G,,
00A046,762,H,G,,
00A047,763,H,S,1,
00A048,763,H,S,3,
00A049,763,H,G,,
00A050,763,H,G,,
00A051,764,H,G,,
00A052,764,H,G,,
00A053,764,H,G,,
00A054,765,H,G,,
00A055,765,H,G,,
00A056,765,H,G,,
00A057,765,H,G,,
00A058,765,H,G,,
00A059,765,H,G,,
00A060,766,H,G,,
00A061,769,H,G,,"Unit too large, recollected as 07A084-086"
00A062,767,H,G,,
00A063,767,H,G,,
00A064,767,H,G,,
00A065,768,H,G,,"Unit too large, recollected as 07A098, 099"
00A066,768,H,G,,"Unit too large, recollected as 07A092-095"
00A067,768,H,G,,"Unit too large, recollected as 07A089"
00A068,768,H,G,,"Unit too large, recollected as 07A089-091"
00A069,768,H,G,,"Unit too large, recollected as 07A096, 097"
00A070,769,H,G,,"Unit too large, recollected as 07A077-081, 088"
00A071,769,H,G,,"Unit too large, recollected as 07A082"
00A072,769,H,G,,"Unit too large, recollected as 07A083, 087"
00A073,770,H,G,,
00A074,771,H,G,,
00A075,772,H,G,,
00A076,772,H,G,,
00A077,773,H,G,,
00A078,773,H,G,,
00A079,775,H,G,,Stone slab grave
00A080,776,H,G,,
00A081,776,H,G,,
00A082,776,H,G,,
00A083,776,H,G,,
00A084,776,H,G,,
00A085,776,H,G,,
00A086,776,H,G,,
00A087,777,H,G,,
00A088,773,H,G,,
00A089,778,H,G,,
00A090,779,H,G,,
00A091,779,H,G,,
00A092,831,H,G,,
00A093,832,H,G,,
00A094,832,H,G,,
00A095,833,H,G,,
00A096,834,H,G,,
00A097,834,H,G,,
00A098,834,H,G,,
00A099,834,H,G,,
00A100,835,H,G,,
00A101,835,H,G,,
00A102,835,H,G,,
00A103,835,H,G,,
00A104,836,M,G,,
00A105,837,H,G,,
00A106,837,H,G,,
00A107,837,H,G,,
00A108,837,H,G,,
00A109,838,H,G,,
00A110,839,H,G,,
00A111,839,H,G,,
00A112,840,H,G,,
00A113,840,H,G,,
00A114,840,H,G,,
00A115,841,H,G,,
00A116,841,H,G,,
00A117,841,H,G,,
00A118,842,H,G,,
00A119,842,H,G,,
00A120,842,H,G,,
00A121,843,H,G,,
00A122,843,H,G,,
00A123,844,H,G,,
00A124,844,H,G,,
00A125,845,H,G,,
00A126,846,H,G,,
00A127,846,H,G,,
00A128,847,H,G,,
00A129,848,H,G,,
00A130,848,H,G,,
00A131,848,H,G,,
00A132,849,H,G,,
00A133,850,H,G,,
00A134,850,H,G,,
00A135,850,H,G,,
00A136,850,H,G,,
00A137,850,H,G,,
00A138,851,H,G,,
00A139,851,H,G,,
00A140,852,H,G,,
00A141,852,H,G,,
00A142,853,H,G,,
00A143,853,H,G,,
00A144,854,H,G,,
00A145,854,H,G,,
00A146,855,H,G,,
00A147,856,H,G,,
00A148,856,H,G,,
00A149,857,H,G,,
00A150,857,H,G,,
00A151,853,H,G,,
00A152,858,H,G,,
00A153,859,H,G,,
00A154,859,H,G,,
00A155,859,H,G,,
