key,x,y
00A001,642.0804,4673.1951
00A002,642.0544,4673.1436
00A003,641.9211,4673.0956
00A004,641.9123,4672.9991
00A005,642.0092,4673.031
00A006,641.9511,4672.989
00A007,641.5899,4672.8108
00A008,641.4195,4673.0574
00A009,641.3167,4672.8607
00A010,638.5295,4672.5813
00A011,638.4314,4672.5141
00A012,638.3959,4672.522
00A013,638.4662,4672.6303
00A015,638.1596,4672.3194
00A016,637.9999,4672.3
00A017,637.8467,4672.1296
00A019,637.4755,4672.6148
00A023,635.901,4674.5221
00A025,635.0151,4675.6016
00A026,633.8814,4674.4097
00A029,634.207,4680.1008
00A030,634.2705,4680.1329
00A031,634.3552,4680.2115
00A032,634.1937,4680.21
00A033,634.6894,4680.2906
00A034,634.7948,4680.3595
00A035,635.8013,4677.2596
00A036,635.7941,4677.1974
00A037,635.8312,4676.8478
00A038,635.388,4675.8144
00A039,635.3575,4676.1082
00A040,634.9655,4676.0929
00A041,635.7626,4675.8296
00A042,635.7386,4675.7796
00A043,635.8693,4675.6055
00A044,635.7386,4675.5598
00A045,636.2787,4675.5598
00A046,636.2569,4675.6446
00A047,636.2328,4678.1984
00A048,636.1454,4678.3578
00A049,635.9742,4678.4635
00A050,636.0145,4678.2756
00A051,635.6131,4678.6833
00A052,635.4738,4678.7487
00A053,635.4721,4678.7118
00A054,636.0917,4678.8914
00A055,635.8784,4678.8041
00A056,636.0497,4678.9987
00A057,635.9775,4678.7252
00A058,636.1639,4678.7873
00A059,636.1572,4678.732
00A060,635.8415,4678.6615
00A062,637.6021,4677.8455
00A063,637.7876,4677.9729
00A064,637.6002,4677.9497
00A073,636.1297,4680.5985
00A074,636.3174,4680.3842
00A075,636.4492,4679.4422
00A076,636.3626,4679.3326
00A077,636.5128,4679.6085
00A078,636.5967,4679.7506
00A079,636.8734,4680.2182
00A080,636.4753,4678.9925
00A081,636.4838,4679.1181
00A082,636.7251,4679.147
00A083,636.8814,4679.0094
00A084,636.6741,4678.9976
00A085,636.8219,4678.9144
00A086,636.6622,4678.8974
00A087,637.0428,4679.0926
00A088,636.7145,4679.6599
00A089,637.7903,4680.5748
00A090,637.7756,4681.0836
00A091,637.8033,4681.1838
00A092,636.8351,4682.9248
00A093,637.112,4680.0743
00A094,637.1886,4680.0537
00A095,637.5473,4681.2736
00A096,636.0187,4681.1876
00A097,635.9956,4681.2483
00A098,635.9265,4681.1741
00A099,635.9097,4681.2059
00A100,636.1131,4681.5674
00A101,636.0022,4681.5863
00A102,635.951,4681.7321
00A103,635.8956,4681.5866
00A104,635.4208,4680.4411
00A105,633.816,4682.8044
00A106,633.7736,4682.6623
00A107,633.8699,4682.8158
00A108,633.8995,4682.9213
00A109,633.5051,4682.9505
00A110,633.3435,4682.9814
00A111,633.2871,4682.9679
00A112,633.6353,4683.1596
00A113,633.6936,4683.1993
00A114,633.5943,4683.1856
00A115,633.6262,4683.4979
00A116,633.6973,4683.3803
00A117,633.8081,4683.3006
00A118,634.0128,4683.8957
00A119,633.9386,4683.8294
00A120,633.9396,4683.8887
00A121,633.7834,4683.7801
00A122,633.7849,4683.8376
00A123,633.5828,4683.8085
00A124,633.6031,4683.7654
